LotArea	OverallQual	YearBuilt	RoofStyle	CentralAir	SalePrice
7134	5	1955	Gable	Y	130000
10175	6	1964	Gable	Y	180500
2645	8	1999	Gable	Y	172500
11645	7	2004	Gable	Y	196500
13682	10	2006	Hip	Y	438780
7200	5	1972	Gable	Y	124900
13072	6	2004	Gable	Y	158000
7200	5	1920	Gable	N	101000
6442	8	2006	Gable	Y	202500
10300	7	1921	Gable	Y	140000
9375	7	1997	Gable	Y	219500
9591	8	2004	Gable	Y	317000
19900	7	1970	Gable	Y	180000
10665	7	2003	Gable	Y	226000
4608	4	1945	Gable	Y	80000
15593	7	1953	Gable	Y	225000
13651	7	1973	Gable	Y	244000
7599	4	1982	Gable	Y	129500
10141	7	1998	Gable	Y	185000
10200	5	1954	Gable	Y	144900
5790	3	1915	Gambrel	N	107400
1596	4	1973	Gable	Y	91000
8475	4	1956	Gable	Y	135750
8635	5	1948	Gable	Y	127000
10778	4	1968	Hip	N	136500
10440	5	1910	Gable	Y	110000
13000	6	1968	Gable	Y	193500
4500	6	1998	Hip	Y	153500
10206	8	2007	Gable	Y	245000
8892	5	1960	Gable	Y	126500
8530	7	1995	Gable	Y	168500
16059	8	1991	Hip	Y	260000
11911	6	2005	Gable	Y	174000
3951	6	2009	Gable	Y	164500
8470	3	1915	Hip	N	85000
8070	4	1994	Gable	Y	123600
7200	4	1950	Gable	Y	109900
8500	5	1961	Hip	Y	98600
13360	5	1921	Gable	Y	163500
7200	6	1910	Hip	N	133900
9337	6	1997	Gable	Y	204750
9765	6	1993	Gable	Y	185000
10264	7	1999	Gable	Y	214000
10921	4	1965	Hip	Y	94750
10625	5	1920	Gable	N	83000
9320	4	1959	Gable	Y	128950
10603	6	1977	Gable	Y	205000
9206	6	1985	Gable	Y	178000
7018	5	1979	Gable	Y	118964
10402	7	2009	Gable	Y	198900
7758	7	1931	Gable	Y	169500
9375	8	2003	Hip	Y	250000
10800	4	1885	Mansard	Y	100000
6000	5	1948	Gable	Y	115000
8500	5	1919	Gable	N	115000
11751	6	1977	Hip	Y	190000
9525	6	1954	Gable	Y	136900
7750	7	2000	Gable	Y	180000
9965	7	2007	Gable	Y	383970
21000	6	1953	Hip	Y	217000
7259	6	1945	Gambrel	Y	259500
3230	6	1999	Gable	Y	176000
11616	5	1962	Gable	Y	139000
8536	5	2006	Gable	Y	155000
12376	7	1990	Hip	Y	320000
8461	6	2005	Gable	Y	163990
21453	6	1969	Flat	Y	180000
6060	4	1939	Gable	Y	100000
9464	6	1958	Hip	Y	136000
7892	6	1993	Gable	Y	153900
17043	6	1979	Gable	Y	181000
6780	6	1935	Gable	N	84500
4928	6	1976	Gable	Y	128000
4388	5	1930	Gable	Y	87000
7590	6	1966	Gable	Y	155000
8973	5	1958	Gable	Y	150000
14200	7	1966	Gable	Y	226000
12224	6	2000	Gable	Y	244000
7388	5	1959	Gable	Y	150750
6853	8	2001	Gable	Y	220000
10335	5	1968	Gable	Y	180000
10400	7	1970	Hip	Y	174000
10355	5	1967	Gable	Y	143000
11070	7	1988	Gable	Y	171000
9066	8	1999	Gable	Y	230000
15426	6	1997	Gable	Y	231500
10500	4	1971	Gable	Y	115000
11645	7	2005	Gable	Y	260000
8520	5	1952	Gable	Y	166000
10335	7	1999	Gable	Y	204000
9100	5	1963	Gable	Y	125000
2522	6	2004	Gable	Y	130000
6120	5	1931	Gable	Y	105000
9505	7	2001	Gable	Y	222500
7500	7	2004	Gable	Y	141000
6240	5	1936	Gable	Y	115000
10356	5	1975	Gable	Y	122000
13891	8	2007	Hip	Y	372402
14803	6	1971	Gable	Y	190000
13500	6	1960	Flat	Y	235000
11340	6	1923	Gable	Y	125000
9600	6	1924	Gable	N	79000
7200	5	1950	Hip	Y	109500
12003	8	2009	Gable	Y	269500
12552	7	2004	Gable	Y	254900
19378	7	2005	Gable	Y	320000
11120	6	1984	Gable	Y	162500
13688	9	2003	Gable	Y	412500
12182	7	2005	Gable	Y	220000
5500	4	1956	Gable	Y	103200
5400	6	1926	Gable	Y	152000
10106	5	1940	Gable	Y	127500
10708	5	1955	Hip	Y	190000
10562	8	2007	Gable	Y	325624
8244	7	2004	Gable	Y	183500
16669	8	1981	Hip	Y	228000
12358	5	1941	Gable	Y	128500
31770	6	1960	Hip	Y	215000
5306	7	1987	Gable	Y	239000
10197	6	1961	Gable	Y	163000
12416	6	1986	Gable	Y	184000
12615	6	1950	Gable	Y	243000
10029	6	1988	Gable	Y	211000
13650	5	1958	Gable	Y	172500
17423	9	2008	Hip	Y	501837
8520	5	1923	Gable	Y	100000
2117	6	2000	Gable	Y	177000
7588	7	1920	Gable	Y	200100
9060	5	1957	Hip	Y	120000
11426	7	2003	Gable	Y	200000
7438	5	1908	Gable	Y	127000
22950	10	1892	Gable	Y	475000
9947	7	1990	Gable	Y	173000
10410	5	1916	Gable	Y	135000
7018	5	1979	Gable	Y	153337
4923	8	2001	Gable	Y	286000
10570	8	1932	Hip	Y	315000
7472	7	1972	Gable	Y	184000
9017	7	1999	Gable	Y	192000
2522	7	2004	Gable	Y	130000
7180	5	1972	Hip	Y	127000
2280	6	1976	Gable	Y	148500
9416	7	2007	Hip	Y	311872
25419	8	1918	Gable	Y	235000
5520	6	1912	Gable	Y	104000
9591	8	2004	Hip	Y	274900
8546	4	2003	Gable	Y	140000
10125	6	1977	Gable	Y	171500
7000	6	1924	Gable	Y	112000
4438	6	2004	Gable	Y	149000
3500	5	1947	Gable	Y	110000
11851	7	1990	Gable	Y	180500
13673	5	1962	Gable	Y	143900
12493	4	1960	Gable	Y	141000
14364	7	1988	Gable	Y	277000
8250	6	1964	Hip	Y	145000
5604	5	1925	Gable	N	98000
10420	6	2009	Gable	Y	186000
8640	7	2009	Gable	Y	252678
13568	5	1995	Gable	Y	156000
10900	6	1977	Gable	Y	161750
10011	5	1957	Gable	Y	134450
8450	7	2004	Gable	Y	210000
9906	4	1925	Gable	N	107000
15660	7	1939	Gable	Y	311500
3010	7	2005	Gable	Y	167240
8990	7	2006	Gable	Y	204900
8068	6	2002	Gable	Y	200000
11475	6	1975	Gable	Y	179900
10500	4	1971	Gable	Y	97000
13472	10	2003	Hip	Y	386250
1680	5	1971	Gable	Y	112000
9950	7	1995	Gable	Y	290000
1869	6	1970	Gable	Y	106000
8521	5	1967	Gable	Y	125000
3182	7	2005	Gable	Y	192500
8760	6	1959	Hip	Y	148000
15138	8	1995	Gable	Y	403000
1680	6	1972	Gable	Y	94500
10650	5	1976	Gable	Y	128200
7851	6	2002	Gable	Y	216500
1680	6	1971	Gable	Y	89500
8773	7	2004	Gable	Y	185500
9453	7	1993	Gable	Y	194500
12030	8	2007	Hip	Y	318000
8741	6	1945	Gable	Y	113000
9000	8	2008	Gable	Y	262500
3880	5	1945	Gable	Y	110500
5000	5	1900	Gable	N	79000
10762	6	1980	Gable	Y	120000
8880	7	1994	Gable	Y	205000
10400	7	1988	Gable	Y	241500
9142	6	1910	Gable	N	137000
11310	6	1954	Hip	Y	140000
11317	7	2003	Gable	Y	180000
159000	6	1958	Gable	Y	277000
5350	3	1940	Gable	Y	76500
4750	8	2006	Hip	Y	235000
8366	6	2004	Gable	Y	173000
9350	6	1964	Hip	Y	158000
8400	5	1957	Gable	Y	145000
8738	7	1999	Gable	Y	230000
8791	6	2003	Gable	Y	207500
8814	7	2006	Gable	Y	220000
12435	7	2001	Gable	Y	231500
12702	5	1956	Gable	Y	97000
19296	6	1962	Gable	Y	176000
9588	8	2007	Gable	Y	276000
8471	6	1977	Gable	Y	151000
5500	5	1929	Gable	Y	130000
5232	5	1925	Gable	N	73000
12090	6	1981	Gable	Y	175500
11207	6	1997	Gable	Y	185000
8400	5	1939	Gable	Y	179500
6900	5	1940	Gable	Y	120500
7917	6	1976	Hip	Y	148000
10728	8	2006	Gable	Y	266000
39104	7	1954	Flat	Y	241500
11764	8	1999	Gable	Y	290000
9600	6	1958	Hip	Y	139000
8314	5	1982	Gable	Y	124500
7264	7	1925	Gable	N	205000
9196	7	2003	Gable	Y	201000
19138	4	1951	Gable	Y	141000
14450	9	2006	Gable	Y	415298
10005	7	1977	Hip	Y	192000
11287	7	1989	Gable	Y	228500
7200	6	2006	Gable	Y	185000
5063	7	2007	Gable	Y	207500
9612	8	2008	Gable	Y	244600
8012	6	1992	Gable	Y	179200
4251	7	2006	Gable	Y	164700
9786	6	1962	Gable	Y	159000
8125	4	1971	Gable	Y	88000
9819	5	1967	Gable	Y	122000
8730	6	1915	Gable	Y	153575
15611	8	2006	Gable	Y	233230
5687	5	1912	Gable	N	135900
11409	5	1949	Gable	Y	131000
16659	7	1977	Gable	Y	235000
9600	6	1953	Hip	Y	167000
7937	6	1984	Gable	Y	142500
13710	5	1950	Gable	Y	152000
7399	7	1997	Hip	Y	239000
11700	6	1968	Mansard	Y	175000
14000	6	1950	Gable	Y	158500
15750	5	1953	Hip	Y	157000
16226	8	1998	Gable	Y	267000
13704	7	2001	Gable	Y	205000
9800	5	1972	Gable	Y	149900
18386	7	1880	Gable	Y	295000
10386	8	2004	Gable	Y	305900
13474	7	1990	Gable	Y	225000
7920	6	1920	Gable	Y	89500
12342	4	1940	Gable	Y	82500
12378	9	2003	Gable	Y	360000
7685	6	1993	Gable	Y	165600
8000	6	1948	Gable	Y	132000
7800	5	1939	Gable	Y	119900
215245	7	1965	Hip	Y	375000
9600	7	1925	Gable	Y	178000
7795	7	2004	Gable	Y	188500
13005	7	1980	Gable	Y	260000
9000	8	2006	Gable	Y	270000
9900	7	1993	Gable	Y	260000
14115	7	1980	Gable	Y	187500
16259	9	2006	Gable	Y	342643
12099	8	2004	Gable	Y	354000
10380	7	1986	Gable	Y	301000
5820	3	1955	Gable	Y	126175
11275	7	1967	Mansard	Y	242000
5000	5	1941	Gable	N	87000
10846	8	1993	Gable	Y	324000
11600	6	1960	Hip	Y	145250
11888	6	1916	Gable	N	214500
6402	5	1920	Gable	N	78000
10624	5	1964	Gable	Y	119000
8176	5	1958	Gable	Y	139000
10655	8	2003	Gable	Y	284000
8198	7	2004	Gable	Y	207000
9042	6	1998	Gable	Y	192000
164660	5	1965	Gable	Y	228950
14157	9	2005	Hip	Y	377426
9135	7	2002	Gable	Y	214000
14145	7	1984	Gable	Y	202500
12400	6	1958	Hip	Y	155000
14191	8	2002	Gable	Y	202900
8400	4	1950	Gable	Y	82000
8544	3	1949	Gable	N	87500
8849	9	2005	Hip	Y	266000
2592	5	1976	Gable	Y	85000
6435	6	1939	Gable	Y	140200
12772	6	1960	Hip	Y	151500
17600	6	1960	Gable	Y	157500
2448	7	2003	Gable	Y	154000
20431	9	2005	Hip	Y	437154
7820	9	2007	Hip	Y	318061
5271	7	1986	Gable	Y	190000
9084	5	1941	Gable	N	95000
8520	6	1928	Gable	Y	105900
8400	6	1940	Gable	Y	140000
11249	6	1995	Gable	Y	177500
9248	6	1992	Gable	Y	173000
4224	5	1976	Gable	Y	134000
6930	5	1958	Hip	Y	130000
12011	8	1998	Gable	Y	280000
7540	6	1978	Gable	Y	156000
9144	5	1940	Gable	Y	145000
7301	7	2003	Gable	Y	198500
1680	6	1972	Gable	Y	118000
18800	6	1976	Gable	Y	190000
10690	5	1920	Hip	Y	147000
9500	6	1963	Gable	Y	159000
9150	6	1962	Gable	Y	165000
7800	5	1954	Gable	Y	132000
9830	5	1959	Gable	Y	162000
8121	6	2000	Gable	Y	172400
17120	4	1959	Gable	Y	134432
7175	6	1984	Gable	Y	125000
10634	5	1953	Gable	Y	123000
8200	7	2003	Gable	Y	219500
10020	1	1922	Gable	N	61000
8846	5	1996	Gable	Y	148000
11143	8	2004	Gable	Y	340000
11394	9	2010	Hip	Y	394432
8123	6	2000	Gable	Y	179000
5000	5	1924	Gable	Y	127000
7200	7	2006	Gable	Y	187750
9245	7	2006	Gable	Y	213500
9000	6	1928	Gable	N	76000
53107	6	1992	Gable	Y	240000
3182	8	2004	Gable	Y	192000
8410	5	1910	Gambrel	Y	81000
7200	6	1976	Hip	Y	125000
9382	7	1999	Gable	Y	191000
12474	10	2007	Gable	Y	426000
8405	5	1900	Gable	Y	119000
12209	6	2001	Gable	Y	215000
8339	5	1959	Gable	Y	106500
7446	4	1941	Gable	Y	100000
10134	5	1940	Gable	Y	109000
9571	5	1956	Gable	Y	129000
7200	5	1972	Hip	Y	123000
7590	5	1962	Gable	Y	169500
8967	5	1920	Gable	Y	67000
8125	7	2006	Gable	Y	241000
14963	8	1996	Gable	Y	245500
8767	7	2005	Gable	Y	164990
10200	5	1940	Gable	Y	108000
12090	8	1998	Hip	Y	258000
10364	6	1995	Gable	Y	168000
9991	4	1976	Gable	Y	150000
10480	6	1936	Gable	Y	115000
15576	6	1915	Gable	Y	177000
14154	7	2006	Gable	Y	280000
10800	8	2007	Gable	Y	339750
9571	5	1958	Gable	Y	60000
34650	5	1955	Hip	N	145000
4403	7	2009	Gable	Y	222000
8960	5	1927	Gable	Y	115000
11228	7	1993	Gable	Y	228000
8899	7	2007	Gable	Y	181134
7844	6	1978	Hip	Y	149500
22420	6	1918	Hip	N	239000
8160	5	1940	Gable	N	126000
8450	5	1968	Gable	Y	142000
7060	7	1997	Gable	Y	206300
16635	6	1977	Gable	Y	215000
21750	5	1954	Hip	Y	113000
9200	8	1998	Gable	Y	315000
9000	6	1956	Gable	Y	139000
3378	7	1946	Gable	Y	135000
12800	7	1989	Gable	Y	275000
8593	4	1957	Hip	Y	109008
6762	7	2007	Gable	Y	195400
11457	6	1988	Gable	Y	175000
1680	6	1971	Gable	Y	85400
5586	6	1920	Gable	Y	79900
1920	5	1971	Gable	Y	122500
10839	6	1997	Gable	Y	181000
1890	4	1972	Gable	Y	81000
10667	7	1996	Gable	Y	212000
4400	6	1920	Gable	Y	116000
6000	6	1926	Gable	Y	119000
4280	5	1913	Gable	N	90350
12354	6	1920	Gable	Y	110000
15431	10	2008	Hip	Y	555000
12108	4	1955	Gable	N	118000
6240	5	1930	Gable	Y	162900
3922	7	2006	Gable	Y	172500
8750	7	1994	Gable	Y	210000
9855	6	1956	Hip	Y	127500
16492	6	1966	Gable	Y	190000
11214	7	1998	Gable	Y	199900
8600	6	1937	Gable	Y	119500
6000	3	1948	Gable	Y	120000
5684	6	1930	Hip	Y	110000
70761	7	1975	Gable	Y	280000
9303	6	1996	Hip	Y	204000
9000	8	2008	Gable	Y	210000
9297	5	1976	Gable	Y	188000
9600	7	1973	Hip	Y	175500
4571	5	1916	Gable	N	98000
53227	4	1954	Flat	Y	256000
5100	8	1925	Hip	Y	161000
7015	5	1950	Gable	Y	110000
8004	8	2009	Gable	Y	263435
7200	7	1936	Gable	Y	155000
8281	5	1965	Gable	Y	62383
11988	6	1934	Hip	Y	188700
8430	5	1978	Gable	Y	124000
3072	7	2004	Hip	Y	178740
10628	7	1970	Flat	Y	167000
9480	5	1942	Gable	Y	146500
11428	8	2006	Gable	Y	250000
9291	6	1993	Gable	Y	187000
6820	8	1985	Gable	Y	212000
11952	7	1977	Mansard	Y	190000
3675	6	2005	Gable	Y	148000
14977	8	2006	Gable	Y	440000
5330	8	2000	Gable	Y	251000
8480	5	1963	Hip	Y	132500
13125	6	1997	Gable	Y	208900
13693	9	2006	Hip	Y	380000
10637	8	2007	Hip	Y	297000
5925	4	1937	Hip	Y	89471
16033	9	2004	Hip	Y	326000
11846	9	2003	Hip	Y	374000
2500	7	1915	Gable	Y	155000
4500	6	1998	Hip	Y	164000
7758	5	1962	Gable	Y	132500
9600	5	1950	Gable	Y	147000
10289	5	1965	Hip	Y	156000
12243	5	1971	Gable	Y	175000
10800	5	1900	Gable	N	160000
1526	4	1970	Gable	Y	86000
2665	5	1976	Gable	Y	115000
9490	6	1941	Gable	Y	133000
15578	6	2006	Gable	Y	172785
7931	5	1960	Gable	Y	155000
5784	5	1938	Gable	Y	91300
7879	4	1920	Gable	N	34900
12692	8	1992	Hip	Y	430000
9120	7	1925	Gable	Y	184000
7800	5	1967	Hip	Y	130000
7535	5	1958	Gable	Y	120000
1890	6	1973	Gable	Y	113000
9803	7	2005	Gable	Y	226700
9170	5	1965	Hip	Y	140000
15602	7	1959	Gable	Y	289000
2308	6	1974	Gable	Y	147000
7596	5	1952	Hip	Y	124500
9554	8	1993	Gable	Y	215000
7862	6	2009	Gable	Y	208300
9600	7	1928	Gambrel	Y	161000
9600	5	1959	Gable	Y	124500
14559	5	1951	Hip	Y	164900
6792	7	2005	Gable	Y	202665
9100	5	1958	Gable	Y	129900
9187	6	1983	Gable	Y	134000
10594	5	1926	Gable	N	96500
12220	10	2009	Hip	Y	402861
10448	6	1972	Gable	Y	158000
10208	7	1996	Gable	Y	265000
9531	6	1998	Gable	Y	211000
10918	7	1926	Gambrel	Y	234000
10800	4	1900	Gable	N	106250
11988	6	1957	Gable	Y	150000
5000	6	1947	Gable	Y	159000
40094	10	2007	Hip	Y	184750
11787	7	1996	Gable	Y	315750
7500	7	2005	Gable	Y	176000
13300	5	1956	Hip	Y	132000
14948	9	2008	Hip	Y	446261
9098	4	1920	Gable	Y	86000
32668	6	1957	Hip	Y	200624
10200	6	1988	Gable	Y	175000
6155	6	1920	Gable	Y	128000
7200	5	1955	Gable	Y	107500
5000	1	1946	Gable	N	39300
9056	8	2004	Gable	Y	178000
7000	5	1910	Gable	Y	107500
8924	7	1998	Gable	Y	188000
12735	4	1972	Hip	Y	111250
11553	5	1968	Hip	Y	158000
11423	8	2001	Gable	Y	272000
14601	9	2006	Hip	Y	315000
11000	8	2000	Gable	Y	248000
10140	7	1998	Hip	Y	213250
4058	7	1998	Gable	Y	133000
17104	7	2006	Gable	Y	179665
13837	7	1988	Gable	Y	229000
8737	6	1923	Gable	Y	210000
7244	5	1970	Gable	Y	129500
8235	5	1955	Gable	Y	125000
9375	7	2003	Gable	Y	263000
4043	6	1977	Gable	Y	140000
6000	5	1957	Hip	Y	112500
11146	8	2006	Gable	Y	255500
8777	4	1949	Gable	Y	108000
10625	7	2003	Gable	Y	284000
6380	5	1922	Gable	Y	113000
14850	5	1957	Gable	Y	141000
11040	4	1920	Gable	Y	108000
21872	7	1996	Gable	Y	175000
3196	7	2003	Gable	Y	234000
11341	5	1957	Hip	Y	121500
10010	5	1974	Gable	Y	170000
13907	5	1940	Gable	Y	108000
21780	6	1918	Gable	Y	185000
13346	7	1992	Gable	Y	268000
6858	6	1915	Gable	N	128000
11198	9	2005	Hip	Y	325000
10171	7	2004	Gable	Y	214000
12327	8	1983	Gable	Y	316600
7032	5	1979	Gable	Y	135960
13101	5	1965	Gable	Y	142600
7332	6	1959	Gable	Y	120000
13159	7	2009	Gable	Y	224500
9967	7	2000	Gable	Y	170000
10500	5	1971	Gambrel	Y	139000
8480	5	1947	Gable	Y	118500
6292	7	1928	Gable	Y	145000
11777	5	1966	Gable	Y	164500
3604	7	2007	Gable	Y	146000
12150	5	1954	Gable	N	131500
14585	6	1960	Gable	Y	181900
12704	8	2008	Hip	Y	253293
11841	6	1990	Gable	Y	118500
13500	10	1893	Gable	Y	325000
6120	4	1935	Gable	Y	133000
11443	8	2005	Hip	Y	369900
10267	6	1918	Gable	Y	130000
8740	5	1982	Hip	Y	137000
25095	5	1968	Flat	Y	143000
9100	5	1930	Gable	Y	79500
8320	7	2004	Gable	Y	185900
13478	10	2008	Gable	Y	451950
6600	5	1982	Gable	Y	138000
4435	6	2003	Gable	Y	140000
7990	5	1975	Hip	Y	110000
11302	8	2005	Gable	Y	319000
3600	6	1910	Gable	N	114504
3922	7	2006	Gable	Y	194201
12984	5	1977	Gable	Y	217500
1950	6	1980	Gable	Y	151000
10927	8	2005	Gable	Y	275000
9000	6	1937	Gable	Y	141000
10041	8	1992	Gable	Y	220000
3182	7	2004	Gable	Y	151000
12803	7	2002	Gable	Y	221000
13600	7	1965	Gable	Y	205000
12464	5	1996	Gable	Y	152000
7800	5	1948	Gable	Y	225000
12168	8	1934	Gable	Y	359100
7943	4	1961	Gable	Y	118500
11050	9	2000	Hip	Y	313000
10395	6	1978	Gable	Y	148000
11885	8	2001	Gable	Y	261500
8402	5	2007	Gable	Y	147000
1491	4	1972	Gable	Y	75500
8800	6	1963	Gable	Y	137500
7861	6	2002	Gable	Y	183200
7227	6	1954	Gable	Y	105500
11694	9	2007	Hip	Y	314813
12244	8	2003	Hip	Y	305000
8248	3	1914	Gable	N	67000
10800	6	1974	Gable	Y	240000
7064	5	1977	Gable	Y	135000
2117	6	2000	Gable	Y	168500
10400	6	1972	Gable	Y	165150
10000	6	1962	Hip	Y	160000
12342	5	1960	Hip	Y	139900
9600	6	1955	Gable	Y	153000
11606	5	1969	Gable	Y	135000
9020	6	1964	Gable	Y	168500
9000	5	1880	Gable	Y	124000
4590	8	2006	Gable	Y	209500
11900	7	1977	Hip	Y	82500
9250	5	1954	Gable	Y	139400
6979	6	1980	Gable	Y	144000
10896	6	1914	Hip	Y	200000
6120	2	1936	Gable	N	60000
6000	5	1954	Gable	Y	93000
8777	5	1910	Gable	Y	85000
3982	8	2006	Hip	Y	264561
12677	8	2003	Hip	Y	274000
7050	7	2001	Gable	Y	226000
13860	8	1972	Gable	Y	345000
10793	5	1969	Mansard	Y	152000
9187	9	2009	Gable	Y	370878
10530	6	1971	Hip	Y	143250
7200	5	1950	Hip	Y	98300
10452	6	1953	Hip	Y	155000
7700	6	1966	Gable	Y	155000
1936	4	1970	Gable	Y	84500
8125	7	2007	Gable	Y	205950
9084	4	1940	Gable	Y	108000
8750	7	1996	Gable	Y	191000
10320	6	1906	Gable	Y	135000
10437	8	1995	Hip	Y	350000
1680	6	1971	Gable	Y	88000
10007	5	1959	Gable	Y	145500
7200	7	1931	Gable	Y	149000
17503	6	1948	Gable	Y	97500
9937	5	1964	Hip	Y	167000
12384	7	1976	Gable	Y	197900
46589	8	1994	Hip	Y	402000
13560	6	1968	Hip	Y	110000
10012	4	1972	Gable	Y	137500
20896	8	2005	Gable	Y	423000
11194	8	2000	Gable	Y	230500
18450	6	1965	Flat	Y	129000
8125	6	1994	Gable	Y	193500
14175	5	1956	Gable	Y	168000
11600	4	1922	Gable	Y	137500
8633	6	2005	Gable	Y	173500
6629	6	1925	Gambrel	N	103600
11250	6	1977	Gable	Y	165000
14442	6	1957	Hip	Y	257500
9200	6	1965	Gable	Y	140000
2289	6	1978	Gable	Y	148500
9600	4	1900	Gable	N	87000
9022	5	1924	Gable	Y	109500
11844	8	2008	Hip	Y	372500
9945	5	1961	Hip	Y	128500
8012	6	1980	Gable	Y	143000
4500	5	1932	Gable	Y	159434
2887	6	1996	Gable	Y	173000
11248	9	2002	Hip	Y	285000
16770	7	1998	Gable	Y	221000
5062	7	1984	Gable	Y	207500
10207	7	2007	Gable	Y	227875
5105	7	2004	Gable	Y	148800
8089	8	2007	Gable	Y	392000
7577	6	2005	Gable	Y	194700
4426	6	2004	Gable	Y	141000
21535	10	1994	Gable	Y	755000
26178	7	1989	Hip	Y	335000
5400	5	1921	Gable	Y	108480
6120	5	1936	Gable	Y	141500
13811	6	1987	Gable	Y	176000
6000	5	1921	Gable	Y	89000
6420	5	1952	Gable	Y	123500
8450	5	1965	Gable	Y	138500
4282	7	2004	Gable	Y	196000
14331	8	2002	Hip	Y	312500
9600	7	1969	Hip	Y	140000
12438	8	2006	Hip	Y	361919
7630	5	1900	Gable	Y	140000
8400	7	2004	Gable	Y	213000
5600	4	1930	Hip	N	55000
115149	7	1971	Gable	Y	302000
6240	8	2006	Hip	Y	254000
9018	7	2007	Hip	Y	179540
7162	5	1966	Gable	Y	109900
4130	3	1935	Gable	Y	52000
8712	4	1900	Gable	Y	102776
4671	8	1988	Gable	Y	189000
9873	4	1970	Gable	N	129000
13517	6	1976	Gable	Y	130500
10140	6	1974	Hip	Y	165000
10800	7	1890	Gable	Y	159500
10000	5	1973	Gable	Y	157000
10542	7	1993	Hip	Y	341000
9920	5	1969	Gable	Y	128500
6563	8	1985	Gable	Y	275000
4426	6	2004	Gable	Y	143000
8120	4	1970	Gable	Y	124500
8172	4	1954	Gable	Y	135000
13286	9	2007	Hip	Y	320000
6960	4	1970	Gable	Y	120500
21695	6	1988	Hip	Y	222000
7314	7	2007	Gable	Y	194500
11475	5	1958	Gable	Y	110000
6240	4	1925	Gable	Y	103000
5389	8	1995	Gable	Y	236500
9590	7	2003	Gable	Y	187500
11404	7	1998	Gable	Y	222500
10000	5	1961	Hip	Y	131400
8978	5	1968	Gable	Y	108000
10800	7	1914	Gable	N	163000
8544	3	1950	Gable	N	93500
10463	8	2005	Gable	Y	239900
10800	5	1987	Gable	Y	179000
9313	7	2004	Gable	Y	190000
9600	5	1910	Gable	Y	132000
6768	6	1961	Hip	Y	142000
8450	7	2000	Gable	Y	179000
12886	5	1963	Gable	Y	175000
5395	8	1993	Gable	Y	180000
8963	8	1976	Hip	Y	299800
8795	7	2000	Gable	Y	236000
11700	7	1880	Mansard	N	265979
10593	7	1996	Hip	Y	260400
8405	4	1945	Gable	N	98000
8800	4	1910	Gable	Y	96500
7750	7	2003	Gable	Y	162000
9236	6	1997	Gable	Y	217000
10240	8	2005	Gable	Y	275500
7930	6	1969	Gable	Y	156000
3230	6	1999	Gable	Y	172500
10769	8	2007	Gable	Y	212000
11616	6	1978	Hip	Y	158900
2280	7	1999	Gable	Y	179400
12257	8	1995	Gable	Y	290000
9100	6	1959	Hip	Y	127500
6911	5	1924	Gable	Y	100000
8640	7	2009	Gable	Y	215200
9430	8	1999	Gable	Y	337000
9549	8	1995	Hip	Y	270000
14587	9	2008	Gable	Y	264132
10421	7	1988	Gable	Y	196500
12508	6	1940	Gable	Y	160000
9100	7	2004	Hip	Y	216837
53504	8	2003	Hip	Y	538000
7252	5	1982	Hip	Y	134900
8877	4	1951	Gable	Y	102000
7819	6	1976	Gable	Y	107000
10150	5	1958	Gable	Y	114500
14226	8	2006	Hip	Y	395000
